Volatility 3 Framework 2.26.1

PID	PPID	COMM	KEY	VALUE
6266	27428	apache2	APACHE_RUN_GROUP	www-data
6266	27428	apache2	APACHE_LOG_DIR	/var/log/apache2
6266	27428	apache2	PWD	/
6281	27428	apache2	APACHE_RUN_DIR	/var/run/apache2
6281	27428	apache2	APACHE_PID_FILE	/var/run/apache2/apache2.pid
6281	27428	apache2	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
6281	27428	apache2	APACHE_LOCK_DIR	/var/lock/apache2
6281	27428	apache2	LANG	C
6281	27428	apache2	APACHE_RUN_USER	www-data
6281	27428	apache2	APACHE_RUN_GROUP	www-data
6281	27428	apache2	APACHE_LOG_DIR	/var/log/apache2
6281	27428	apache2	PWD	/
6285	27428	apache2	APACHE_RUN_DIR	/var/run/apache2
6285	27428	apache2	APACHE_PID_FILE	/var/run/apache2/apache2.pid
6285	27428	apache2	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
6285	27428	apache2	APACHE_LOCK_DIR	/var/lock/apache2
6285	27428	apache2	LANG	C
6285	27428	apache2	APACHE_RUN_USER	www-data
6285	27428	apache2	APACHE_RUN_GROUP	www-data
6285	27428	apache2	APACHE_LOG_DIR	/var/log/apache2
6285	27428	apache2	PWD	/
6286	27428	apache2	APACHE_RUN_DIR	/var/run/apache2
6286	27428	apache2	APACHE_PID_FILE	/var/run/apache2/apache2.pid
6286	27428	apache2	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
6286	27428	apache2	APACHE_LOCK_DIR	/var/lock/apache2
6286	27428	apache2	LANG	C
6286	27428	apache2	APACHE_RUN_USER	www-data
6286	27428	apache2	APACHE_RUN_GROUP	www-data
6286	27428	apache2	APACHE_LOG_DIR	/var/log/apache2
6286	27428	apache2	PWD	/
6287	27428	apache2	APACHE_RUN_DIR	/var/run/apache2
6287	27428	apache2	APACHE_PID_FILE	/var/run/apache2/apache2.pid
6287	27428	apache2	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
6287	27428	apache2	APACHE_LOCK_DIR	/var/lock/apache2
6287	27428	apache2	LANG	C
6287	27428	apache2	APACHE_RUN_USER	www-data
6287	27428	apache2	APACHE_RUN_GROUP	www-data
6287	27428	apache2	APACHE_LOG_DIR	/var/log/apache2
6287	27428	apache2	PWD	/
9054	27428	apache2	APACHE_RUN_DIR	/var/run/apache2
9054	27428	apache2	APACHE_PID_FILE	/var/run/apache2/apache2.pid
9054	27428	apache2	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
9054	27428	apache2	APACHE_LOCK_DIR	/var/lock/apache2
9054	27428	apache2	LANG	C
9054	27428	apache2	APACHE_RUN_USER	www-data
9054	27428	apache2	APACHE_RUN_GROUP	www-data
9054	27428	apache2	APACHE_LOG_DIR	/var/log/apache2
9054	27428	apache2	PWD	/
9057	1	systemd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
9057	1	systemd	NOTIFY_SOCKET	/run/systemd/notify
9057	1	systemd	HOME	/home/ubuntu
9057	1	systemd	LOGNAME	ubuntu
9057	1	systemd	USER	ubuntu
9057	1	systemd	SHELL	/bin/bash
9057	1	systemd	XDG_RUNTIME_DIR	/run/user/1000
9060	9057	(sd-pam)	HOME	/
9060	9057	(sd-pam)	init	/sbin/init
9060	9057	(sd-pam)	recovery	
9060	9057	(sd-pam)	TERM	linux
9060	9057	(sd-pam)	drop_caps	
9060	9057	(sd-pam)	BOOT_IMAGE	/boot/vmlinuz-4.4.0-1061-aws
9060	9057	(sd-pam)	PATH	/sbin:/usr/sbin:/bin:/usr/bin
9060	9057	(sd-pam)	PWD	/
9060	9057	(sd-pam)	rootmnt	/root
9126	9118	bash	LANG	en_US.UTF-8
9126	9118	bash	USER	ubuntu
9126	9118	bash	LOGNAME	ubuntu
9126	9118	bash	HOME	/home/ubuntu
9126	9118	bash	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
9126	9118	bash	MAIL	/var/mail/ubuntu
9126	9118	bash	SHELL	/bin/bash
9126	9118	bash	SSH_CLIENT	23.226.128.37 42760 22
9126	9118	bash	SSH_CONNECTION	23.226.128.37 42760 172.31.47.60 22
9126	9118	bash	SSH_TTY	/dev/pts/0
9126	9118	bash	TERM	xterm-256color
9126	9118	bash	XDG_SESSION_ID	289
9126	9118	bash	XDG_RUNTIME_DIR	/run/user/1000
14088	9126	sudo	XDG_SESSION_ID	289
14088	9126	sudo	TERM	xterm-256color
14088	9126	sudo	SHELL	/bin/bash
14088	9126	sudo	SSH_CLIENT	23.226.128.37 42760 22
14088	9126	sudo	OLDPWD	/home/ubuntu/LiME
14088	9126	sudo	SSH_TTY	/dev/pts/0
14088	9126	sudo	USER	ubuntu
14088	9126	sudo	LS_COLORS	rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:
14088	9126	sudo	MAIL	/var/mail/ubuntu
14088	9126	sudo	PATH	/home/ubuntu/bin:/home/ubuntu/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
14088	9126	sudo	PWD	/home/ubuntu/LiME/src
14088	9126	sudo	LANG	en_US.UTF-8
14088	9126	sudo	SHLVL	1
14088	9126	sudo	HOME	/home/ubuntu
14088	9126	sudo	LOGNAME	ubuntu
14088	9126	sudo	XDG_DATA_DIRS	/usr/local/share:/usr/share:/var/lib/snapd/desktop
14088	9126	sudo	SSH_CONNECTION	23.226.128.37 42760 172.31.47.60 22
14088	9126	sudo	LESSOPEN	| /usr/bin/lesspipe %s
14088	9126	sudo	XDG_RUNTIME_DIR	/run/user/1000
14088	9126	sudo	LESSCLOSE	/usr/bin/lesspipe %s %s
14088	9126	sudo	_	/usr/bin/sudo
14089	14088	insmod	TERM	xterm-256color
14089	14088	insmod	LS_COLORS	rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:
14089	14088	insmod	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
14089	14088	insmod	LANG	en_US.UTF-8
14089	14088	insmod	HOME	/home/ubuntu
14089	14088	insmod	MAIL	/var/mail/root
14089	14088	insmod	LOGNAME	root
14089	14088	insmod	USER	root
14089	14088	insmod	USERNAME	root
14089	14088	insmod	SHELL	/bin/bash
14089	14088	insmod	SUDO_COMMAND	/sbin/insmod ./lime-4.4.0-1061-aws.ko path=memoria.bin format=lime
14089	14088	insmod	SUDO_USER	ubuntu
14089	14088	insmod	SUDO_UID	1000
14089	14088	insmod	SUDO_GID	1000
